UEC,PlayerAlgorithm_UEC,PlayerAlgorithm_Cash,customer_flow1_UEC,customer_flow1_Cash,customer_flow2_UEC,customer_flow2_Cash,rev_UEC,rev_Cash,whale_UEC,whale_Cash,market_maker_UEC,market_maker_Cash,Loop,Realisation_UEC,Sentiment_UEC
1005.1,0,0,-35,33294.599999999984,137,-138428.39999999997,0,0.0,0,0.0,-102,105133.79999999992,158,0.0,0.0
1005.1,0,0,-35,33294.599999999984,137,-138428.39999999997,0,0.0,0,0.0,-102,105133.79999999992,159,0.0,0.0
1006.3,0,0,-38,36303.89999999999,164,-165627.09999999998,0,0.0,0,0.0,-126,129323.19999999991,160,0.0,0.0
1007.5,0,0,-35,33278.999999999985,186,-187814.69999999998,0,0.0,0,0.0,-151,154535.69999999992,161,0.0,0.0
1006.5,0,0,-56,54393.499999999985,186,-187814.69999999998,0,0.0,0,0.0,-130,133421.19999999992,162,0.0,0.0
1002.2,0,0,-142,140636.5,186,-187814.69999999998,0,0.0,0,0.0,-44,47178.199999999924,163,0.0,0.0
1002.2,0,0,-142,140636.5,186,-187814.69999999998,0,0.0,0,0.0,-44,47178.199999999924,164,0.0,0.0
1001.2,0,0,-145,143637.1,169,-170811.3,0,0.0,0,0.0,-24,27174.199999999924,165,0.0,0.0
1001.3,0,0,-143,141630.7,169,-170811.3,0,0.0,0,0.0,-26,29180.599999999926,166,0.0,0.0
1001.3,0,0,-143,141630.7,169,-170811.3,0,0.0,0,0.0,-26,29180.599999999926,167,0.0,0.0
1001.3,0,0,-143,141630.7,169,-170811.3,0,0.0,0,0.0,-26,29180.599999999926,168,0.0,0.0
1002.8,0,0,-143,141630.7,199,-200920.3,0,0.0,0,0.0,-56,59289.599999999926,169,0.0,0.0
1002.8,0,0,-143,141630.7,199,-200920.3,0,0.0,0,0.0,-56,59289.599999999926,170,0.0,0.0
1002.8,0,0,-143,141630.7,199,-200920.3,0,0.0,0,0.0,-56,59289.599999999926,171,0.0,0.0
1007.9,0,0,-143,141630.7,301,-303619.89999999997,0,0.0,0,0.0,-158,161989.19999999992,172,0.0,0.0
1007.9,0,0,-143,141630.7,301,-303619.89999999997,0,0.0,0,0.0,-158,161989.19999999992,173,0.0,0.0
1007.9,0,0,-143,141630.7,301,-303619.89999999997,0,0.0,0,0.0,-158,161989.19999999992,174,0.0,0.0
1009.2,0,0,-116,114356.40000000001,301,-303619.89999999997,0,0.0,0,0.0,-185,189263.4999999999,175,0.0,0.0
1009.2,0,0,-116,114356.40000000001,301,-303619.89999999997,0,0.0,0,0.0,-185,189263.4999999999,176,0.0,0.0
1009.2,0,0,-116,114356.40000000001,301,-303619.89999999997,0,0.0,0,0.0,-185,189263.4999999999,177,0.0,0.0
1009.2,0,0,-116,114356.40000000001,301,-303619.89999999997,0,0.0,0,0.0,-185,189263.4999999999,178,0.0,0.0
1008.4,0,0,-116,114356.40000000001,285,-287504.69999999995,0,0.0,0,0.0,-169,173148.2999999999,179,0.0,0.0
1008.4,0,0,-116,114356.40000000001,285,-287504.69999999995,0,0.0,0,0.0,-169,173148.2999999999,180,0.0,0.0
1008.9,0,0,-116,114356.40000000001,294,-296598.29999999993,0,0.0,0,0.0,-178,182241.8999999999,181,0.0,0.0
1008.9,0,0,-116,114356.40000000001,294,-296598.29999999993,0,0.0,0,0.0,-178,182241.8999999999,182,0.0,0.0
1008.9,0,0,-116,114356.40000000001,294,-296598.29999999993,0,0.0,0,0.0,-178,182241.8999999999,183,0.0,0.0
1007.4,0,0,-147,145559.30000000002,294,-296598.29999999993,0,0.0,0,0.0,-147,151038.9999999999,184,0.0,0.0
1007.4,0,0,-147,145559.30000000002,294,-296598.29999999993,0,0.0,0,0.0,-147,151038.9999999999,185,0.0,0.0
1007.4,0,0,-147,145559.30000000002,294,-296598.29999999993,0,0.0,0,0.0,-147,151038.9999999999,186,0.0,0.0
1008.2,0,0,-147,145559.30000000002,310,-312748.69999999995,0,0.0,0,0.0,-163,167189.3999999999,187,0.0,0.0
1008.2,0,0,-147,145559.30000000002,310,-312748.69999999995,0,0.0,0,0.0,-163,167189.3999999999,188,0.0,0.0
1008.2,0,0,-147,145559.30000000002,310,-312748.69999999995,0,0.0,0,0.0,-163,167189.3999999999,189,0.0,0.0
1008.2,0,0,-147,145559.30000000002,310,-312748.69999999995,0,0.0,0,0.0,-163,167189.3999999999,190,0.0,0.0
1007.8,0,0,-153,151596.50000000003,310,-312748.69999999995,0,0.0,0,0.0,-157,161152.1999999999,191,0.0,0.0
1007.9,0,0,-153,151596.50000000003,311,-313758.49999999994,0,0.0,0,0.0,-158,162161.99999999988,192,0.0,0.0
1007.9,0,0,-153,151596.50000000003,311,-313758.49999999994,0,0.0,0,0.0,-158,162161.99999999988,193,0.0,0.0
1007.9,0,0,-153,151596.50000000003,311,-313758.49999999994,0,0.0,0,0.0,-158,162161.99999999988,194,0.0,0.0
1007.9,0,0,-153,151596.50000000003,311,-313758.49999999994,0,0.0,0,0.0,-158,162161.99999999988,195,0.0,0.0
1012.3,0,0,-66,63587.200000000026,312,-314772.39999999997,0,0.0,0,0.0,-246,251185.19999999987,196,0.0,0.0
1012.0,0,0,-71,68638.70000000003,312,-314772.39999999997,0,0.0,0,0.0,-241,246133.69999999987,197,0.0,0.0
1012.0,0,0,-71,68638.70000000003,312,-314772.39999999997,0,0.0,0,0.0,-241,246133.69999999987,198,0.0,0.0
